SYMB,ED,TRAN,ANUM,BNUM,CNUM,MEMO,CURRENCY
,,,,,,TNRA WITHHOLDING ADJ,USD
,,,,,,CHAP 3 NRA WITHHOLDING,USD
,,,,,,CHAP 3 NRA WITHHOLDING,USD
,,,,,,CHAP 3 NRA WITHHOLDING,USD
,,,,,,TNRA WITHHOLDING ADJ,USD
,,,,,,CHAP 3 NRA WITHHOLDING,USD
,,,,,,TNRA WITHHOLDING ADJ,USD
,,,,,,TNRA WITHHOLDING ADJ,USD
,,,,,,INTERNATIONAL WIRE TRAN,USD
,,,,,,INTL WIRE TRANSFER FEE,USD
,,,,,,INTEREST 07/30THRU 08/28,USD
,,,,,,CHAP 3 NRA WITHHOLDING,USD
,,,,,,06/2024 FOREIGN PAPER SU,USD
,,,,,,07/2024 FOREIGN PAPER SU,USD
,,,,,,08/2024 FOREIGN PAPER SU,USD
,,,,,,06/2024 PAPER DELIVERY F,USD
,,,,,,07/2024 PAPER DELIVERY F,USD
,,,,,,08/2024 PAPER DELIVERY F,USD
,,,,,,CHAP 3 NRA WITHHOLDING,USD
,,,,,,CHAP 3 NRA WITHHOLDING,USD
,,,,,,INTL WIRE TRANSFER FEE,USD
,,,,,,INTERNATIONAL WIRE TRAN,USD
,,,,,,CHAP 3 NRA WITHHOLDING,USD
,,,,,,INTL WIRE TRANSFER FEE,USD
,,,,,,INTERNATIONAL WIRE TRAN,USD
,,,,,,INTL WIRE TRANSFER FEE,USD
,,,,,,INTERNATIONAL WIRE TRAN,USD
,,,,,,INTERNATIONAL WIRE TRAN,USD
,,,,,,INTL WIRE TRANSFER FEE,USD
,,,,,,INCOMING WIRE TRANSFER,USD
,,,,,,INTEREST 10/30THRU 11/26,USD
,,,,,,INCOMING WIRE TRANSFER,USD
,,,,,,INCOMING WIRE TRANSFER,USD
,,,,,,09/2024 FOREIGN PAPER SU,USD
,,,,,,10/2024 FOREIGN PAPER SU,USD
,,,,,,11/2024 FOREIGN PAPER SU,USD
,,,,,,09/2024 PAPER DELIVERY F,USD
,,,,,,10/2024 PAPER DELIVERY F,USD
,,,,,,11/2024 PAPER DELIVERY F,USD
,,,,,,CHAP 3 NRA WITHHOLDING,USD
,,,,,,INTEREST 11/27THRU 12/29,USD
,,,,,,INTERNATIONAL WIRE TRAN,USD
,,,,,,INTERNATIONAL WIRE TRAN,
,,,,,,INTL WIRE TRANSFER FEE,
,,,,,,INTL WIRE TRANSFER FEE,
,,,,,,INTERNATIONAL WIRE TRAN,
,,,,,,INTL WIRE TRANSFER FEE,
,,,,,,INTERNATIONAL WIRE TRAN,
,,,,,,INTEREST 01/30THRU 02/26,
,,,,,,INTL WIRE TRANSFER FEE,
,,,,,,INTERNATIONAL WIRE TRAN,
,,,,,,INTERNATIONAL WIRE TRAN,
,,,,,,INTL WIRE TRANSFER FEE,
,,,,,,01/2025 FOREIGN PAPER SU,
,,,,,,02/2025 FOREIGN PAPER SU,
,,,,,,12/2024 FOREIGN PAPER SU,
,,,,,,01/2025 PAPER DELIVERY F,
,,,,,,02/2025 PAPER DELIVERY F,
,,,,,,12/2024 PAPER DELIVERY F,
,,,,,,INCOMING WIRE TRANSFER,
,,,,,,INTL WIRE TRANSFER FEE,
,,,,,,INTERNATIONAL WIRE TRAN,
,,,,,,INCOMING WIRE TRANSFER,
,,,,,,INCOMING WIRE TRANSFER,
,,,,,,03/2025 FOREIGN PAPER SU,
,,,,,,04/2025 FOREIGN PAPER SU,
,,,,,,05/2025 FOREIGN PAPER SU,
,,,,,,03/2025 PAPER DELIVERY F,
,,,,,,04/2025 PAPER DELIVERY F,
,,,,,,05/2025 PAPER DELIVERY F,
,,,,,,INTEREST 05/29THRU 06/26,
,,,,,,INCOMING WIRE TRANSFER,
,,,,,,INTEREST 07/30THRU 08/27,
,,,,,,06/2025 FOREIGN PAPER SU,
,,,,,,07/2025 FOREIGN PAPER SU,
,,,,,,08/2025 FOREIGN PAPER SU,
,,,,,,06/2025 PAPER DELIVERY F,
,,,,,,07/2025 PAPER DELIVERY F,
,,,,,,08/2025 PAPER DELIVERY F,
,,,,,,INCOMING WIRE TRANSFER,
,,,,,,CHAP 3 NRA WITHHOLDING,
,,,,,,TNRA WITHHOLDING ADJ,
,,,,,,INTEREST 09/29THRU 10/29,
,,,,,,CHAP 3 NRA WITHHOLDING,
,,,,,,09/2025 FOREIGN PAPER SU,
,,,,,,10/2025 FOREIGN PAPER SU,
,,,,,,11/2025 FOREIGN PAPER SU,
,,,,,,09/2025 PAPER DELIVERY F,
,,,,,,10/2025 PAPER DELIVERY F,
,,,,,,11/2025 PAPER DELIVERY F,
,,,,,,CHAP 3 NRA WITHHOLDING,
,,,,,,"FDIC INSURED SWEEP PROGRAM 011526 2,328,206",
,,,,,,FDIC INSURED SWEEP PROGRAM 020526,
,,,,,,CHAP 3 NRA WITHHOLDING,
,,,,,,CHAP 3 NRA WITHHOLDING,
,,,,,,CHAP 3 NRA WITHHOLDING,
,,,,,,CHAP 3 NRA WITHHOLDING,
,,,,,,Outflow,
,,,,,,Fees,
,,,,,,Outflow adj,
,,,,,,CHAP 3 NRA WITHHOLDING,
,,,,,,CHAP 3 NRA WITHHOLDING,
,,,,,,Inflow adj,
,,,,,,Inflow adj,
,,,,,,TNRA WITHHOLDING ADJ,
,,,,,,"FDIC INSURED SWEEP PROGRAM 031326 2,787,342",
,,,,,,CHAP 3 NRA WITHHOLDING 2X LONG VIX FUTURES ETF,
,,,,,,TNRA WITHHOLDING ADJ,
,,,,,,Fee,
,,,,,,CHAP 3 NRA WITHHOLDING 2X LONG VIX FUTURES ETF,
,,,,,,CHAP 3 NRA WITHHOLDING 2X LONG VIX FUTURES ETF,
,,,,,,FDIC INSURED SWEEP PROGRAM 033026,
,,,,,,INTEREST 02/26THRU 03/29,
,,,,,,TNRA WITHHOLDING ADJBYM,
,,,,,,CHAP 3 NRA WITHHOLDING DRXN S&P500 BEAR 1X ETF,
,,,,,,TNRA WITHHOLDING ADJ,
,,,,,,CHAP 3 NRA WITHHOLDING 2X LONG VIX FUTURES ETF,
,,,,,,CHAP 3 NRA WITHHOLDING 2X LONG VIX FUTURES ETF,
,,,,,,TNRA WITHHOLDING ADJBYM,
,,,,,,TNRA WITHHOLDING ADJBYM,
,,,,,,"FDIC INSURED SWEEP PROGRAM 041526 3,793,037",
,,,,,,Fee,
,,,,,,"FDIC INSURED SWEEP PROGRAM 051526 4,247,296",
,,,,,,Withdrawal to 368,
,,,,,,Fee,
,,,,,,Reclassification of Gold Fund liability due to Clients,
,,,,,,Reclassification of Gold Fund Partner's Comm on Mgt fee,
,,,,,,"FDIC INSURED SWEEP PROGRAM 061526 918,346",
,,,,,,CHAP 3 NRA WITHHOLDING PROSH U/S BB C/OIL2X ETF,
,,,,,,TNRA WITHHOLDING ADJBYM,
,,,,,,Fee,
,,,,,,CHAP 3 NRA WITHHOLDING PROSH ULT BB C/OIL2X ETF,
,,,,,,TNRA WITHHOLDING ADJ,
,,,,,,WHT deducted on SPMO Div,
,,,,,,Fee,
,,,,,,CHAP 3 NRA WITHHOLDING PROSH ULT BB C/OIL2X ETF,
,,,,,,TNRA WITHHOLDING ADJ,
,,,,,,WHT deducted on MUU Div,
,,,,,,WHT deducted on TQQQ Div,
,,,,,,Reclassification of SGEF,
,,,,,,Readdition of SMA takeout nets,
,,,,,,WHT deducted on ETHD Div,
,,,,,,"FDIC INSURED SWEEP PROGRAM 071526 804,126",
,,,,,,WHT deducted on MU Div,
,,,,,,Withdrawal,
,,,,,,FDIC INSURED SWEEP PROGRAM 072826,
,,,,,,Restoration of Partner's commission paid out,
,,,,,,Restoration of 15 Gold fund clients' liabilities paid or transferred to GIF,
,,,,,,WHT deducted on ETHD Div,
,,,,,,"FDIC INSURED SWEEP PROGRAM 081426 76,193",
