SYMB,ED,TRAN,ANUM,BNUM,CNUM,BONDCOUP,BONDFREQ,BONDMAT,CURRENCY,INCOME STYLE
FGN 2033 bond,20260407,SELL,121.0470994,20000000,0,19.89%,6,15-05-33,NGN,Bond Interest
FGN 2033 bond,20260407,SELL,121.0070994,10000000,0,19.89%,6,15-05-33,NGN,Bond Interest
FGN 2034 bond,20260407,SELL,113.4718785,14050000,0,19.00%,6,21-02-34,NGN,Bond Interest
FGN 2032 Bond,20260407,SELL,110.2892582,24000000,0,17.95%,6,25-06-32,NGN,Bond Interest
FGN 2032 Bond,20260407,SELL,110.2892582,26000000,0,17.95%,6,25-06-32,NGN,Bond Interest
FGN 2033 bond,20260408,SELL,121.2320442,4500000,0,19.89%,6,15-05-33,NGN,Bond Interest
FGN 2031 Bond,20260408,SELL,108.6208287,10000000,0,18.50%,6,21-02-31,NGN,Bond Interest
FGN 2031 Bond,20260408,SELL,108.6708287,10000000,0,18.50%,6,21-02-31,NGN,Bond Interest
FGN 2033 bond,20260408,SELL,121.0620442,20000000,0,19.89%,6,15-05-33,NGN,Bond Interest
FGN 2032 Bond,20260408,SELL,110.5885714,11000000,0,17.95%,6,25-06-32,NGN,Bond Interest
FGN 2034 bond,20260408,SELL,113.6143646,20000000,0,19.00%,6,21-02-34,NGN,Bond Interest
FGN 2034 bond,20260409,BUY,114.4668508,5000000,0,19.00%,6,21-02-34,NGN,Bond Interest
NIGTB 05/11/2026,20260428,SELL,91.36575342,13000000,0,16.00%,0,05-11-26,NGN,Bond Interest
NIGTB 05/11/2026,20260428,SELL,91.38668493,13000000,0,16.00%,0,05-11-26,NGN,Bond Interest
NIGTB 23/07/2026,20260512,SELL,96.84383562,10000000,0,16.00%,0,23-07-26,NGN,Bond Interest
FGN 2031 Bond,20260514,SELL,109.3206077,9000000,0,18.50%,6,21-02-31,NGN,Bond Interest
NIGTB 18/06/2026,20260514,SELL,98.37082192,6000000,0,16.00%,0,18-06-26,NGN,Bond Interest
NIGTB 18/02/2027,20260707,BUY,89.22630137,19000000,0,17.40%,0,18-02-27,NGN,Bond Interest
FGN 2035 Bond,20260722,BUY,129.1054134,5000000,0,22.60%,6,29-01-35,NGN,Bond Interest
FGN 2037 bond,20260722,BUY,94.68452022,5000000,0,16.25%,6,18-04-37,NGN,Bond Interest
NIGTB 15/07/2027,20260724,BUY,83.17534247,5000000,0,17.25%,0,15-07-27,NGN,Bond Interest
FGN 2038 Bond,20260727,BUY,90.22253413,5000000,0,15.45%,6,21-06-38,NGN,Bond Interest
NIGTB 15/07/2027,20260727,BUY,83.36547945,10000000,0,17.20%,0,15-07-27,NGN,Bond Interest
FGN 2037 bond,20260728,BUY,97.50426202,5000000,0,16.25%,6,18-04-37,NGN,Bond Interest
FGN 2035 Bond,20260728,BUY,132.2732411,5000000,0,22.60%,6,29-01-35,NGN,Bond Interest
NIGTB 29/07/2027,20260731,BUY,83.1229863,30000000,0,16.97%,0,29-07-27,NGN,Bond Interest
NIGTB 29/07/2027,20260803,BUY,83.25260274,30000000,0,16.98%,0,29-07-27,NGN,Bond Interest
NIGTB 12/08/2027,20260814,BUY,82.79479452,20000000,0,17.30%,0,12-08-27,NGN,Bond Interest
NIGTB 12/08/2027,20260814,BUY,82.79479452,10000000,0,17.30%,0,12-08-27,NGN,Bond Interest
NIGTB 12/08/2027,20260814,BUY,82.79479452,10000000,0,17.30%,0,12-08-27,NGN,Bond Interest
NIGTB 12/08/2027,20260817,BUY,82.9369863,20000000,0,17.30%,0,12-08-27,NGN,Bond Interest
FGN 2038 Bond,20260819,BUY,91.0145494,20000000,0,17.79%,6,21-06-38,NGN,Bond Interest
NIGTB 12/08/2027,20260820,BUY,83.21610959,10000000,0,17.16%,0,12-08-27,NGN,Bond Interest
NIGTB 12/08/2027,20260820,BUY,83.19654795,10000000,0,17.18%,0,12-08-27,NGN,Bond Interest
NIGTB 12/08/2027,20260821,BUY,83.24361644,10000000,0,17.18%,0,12-08-27,NGN,Bond Interest
NIGTB 12/08/2027,20260821,BUY,83.25336986,15000000,0,17.17%,0,12-08-27,NGN,Bond Interest
