SYMB,ED,TRAN,ANUM,BNUM,CNUM,MEMO,CURRENCY
GIFN Cash,20260416,TXOUT,1,6996002043,0,Outflow,NGN
GIFN Cash,20260416,TXOUT,1,11749366.17,0,Outflow,NGN
GIFN Cash,20260417,TXOUT,1,2796001021,0,Outflow,NGN
GIFN Cash,20260417,TXOUT,1,2160214.44,0,Outflow,NGN
GIFN Cash,20260420,TXOUT,1,1401001021,0,Outflow,NGN
GIFN Cash,20260420,TXOUT,1,155881281,0,Outflow,NGN
GIFN Cash,20260421,TXOUT,1,1114401021,0,Outflow,NGN
GIFN Cash,20260421,TXOUT,1,9278424.41,0,Outflow,NGN
GIFN Cash,20260422,TXOUT,1,25444846.18,0,Outflow,NGN
GIFN Cash,20260423,TXOUT,1,6549653064,0,Outflow,NGN
GIFN Cash,20260423,TXOUT,1,20000000,0,Outflow,NGN
GIFN Cash,20260424,TXIN,1,6412.53,0,Inflow,NGN
GIFN Cash,20260424,TXOUT,1,500000000,0,Outflow,NGN
GIFN Cash,20260427,TXOUT,1,800002042.5,0,Outflow,NGN
GIFN Cash,20260427,TXIN,1,45564.12,0,Inflow,NGN
GIFN Cash,20260428,TXIN,1,19352283.05,0,Inflow,NGN
GIFN Cash,20260428,TXOUT,1,2181503064,0,Outflow,NGN
GIFN Cash,20260428,TXOUT,1,25884004.57,0,Outflow,NGN
GIFN Cash,20260429,TXOUT,1,40000053.75,0,Private facility,NGN
GIFN Cash,20260429,TXIN,1,70000000,0,Inflow,NGN
GIFN Cash,20260430,TXOUT,1,10000000,0,Internal transfer,NGN
GIFN Cash,20260430,TXOUT,1,51326585.99,0,Outflow,NGN
GIFN Cash,20260504,TXOUT,1,14796686.53,0,Outflow,NGN
GIFN Cash,20260505,TXOUT,1,5000000,0,Internal transfer,NGN
GIFN Cash,20260505,TXIN,1,171241.88,0,Dividend inflow,NGN
GIFN Cash,20260505,TXOUT,1,13737661.25,0,Outflow,NGN
GIFN Cash,20260506,TXOUT,1,18840053.75,0,Outflow,NGN
GIFN Cash,20260508,TXIN,1,2373711.73,0,Dividend inflow,NGN
GIFN Cash,20260508,TXOUT,1,24743839.51,0,Outflow,NGN
GIFN Cash,20260508,TXOUT,1,5991780.82,0,Outflow,NGN
GIFN Cash,20260510,TXOUT,1,50,0,Outflow,NGN
GIFN Cash,20260511,TXIN,1,1030366.08,0,Dividend inflow,NGN
GIFN Cash,20260511,TXOUT,1,2600000,0,Internal transfer,NGN
GIFN Cash,20260512,TXOUT,1,1626024.63,0,Outflow,NGN
GIFN Cash,20260513,TXIN,1,6921,0,Dividend inflow,NGN
GIFN Cash,20260513,TXOUT,1,1400107.5,0,Outflow,NGN
GIFN Cash,20260515,TXOUT,1,2000001021,0,Outflow,NGN
GIFN Cash,20260515,TXOUT,1,2431286.63,0,Outflow,NGN
GIFN Cash,20260518,TXIN,1,95512.5,0,Dividend inflow,NGN
GIFN Cash,20260518,TXOUT,1,30346.2,0,Outflow adj,NGN
GIFN Cash,20260519,TXIN,1,23000000,0,Inflow,NGN
GIFN Cash,20260519,TXOUT,1,206752190.1,0,Outflow,NGN
GIFN Cash,20260520,TXOUT,1,44350215,0,Outflow,NGN
GIFN Cash,20260520,TXIN,1,516011708.8,0,SMA Bond Sale proceeds,NGN
GIFN Cash,20260521,TXIN,1,25000000,0,TRF from Wtech,NGN
GIFN Cash,20260521,TXIN,1,40000000,0,Client inflow,NGN
GIFN Cash,20260521,TXOUT,1,22501053.75,0,Outflow,NGN
GIFN Cash,20260521,TXIN,1,10591780.82,0,PF repayment-E.Bako,NGN
GIFN Cash,20260525,TXIN,1,1382595118,0,SMA Bond Sale proceeds,NGN
GIFN Cash,20260525,TXOUT,1,5000000,0,Internal transfer,NGN
GIFN Cash,20260526,TXOUT,1,47759925.32,0,Outflow,NGN
GIFN Cash,20260529,TXOUT,1,9445188.7,0,Outflow,NGN
GIFN Cash,20260529,TXIN,1,5000000,0,Wtech refund,NGN
GIFN Cash,20260529,TXIN,1,550000,0,Refund on compliance,NGN
GIFN Cash,20260531,TXIN,1,15936.39,0,Interest on call,NGN
GIFN Cash,20260531,TXIN,1,5756.36,0,Interest on call,NGN
GIFN Cash,20260531,TXOUT,1,53967300.19,0,Outflow adj,NGN
GIFN Cash,20260601,TXOUT,1,13000000,0,Internal transfer,NGN
GIFN Cash,20260603,TXIN,1,1528871436,0,Fx sale + Div,NGN
GIFN Cash,20260603,TXOUT,1,1689433.18,0,Outflow,NGN
GIFN Cash,20260604,TXIN,1,436245147.6,0,Fx sale + Div,NGN
GIFN Cash,20260604,TXOUT,1,100000000,0,Outflow,NGN
GIFN Cash,20260604,TXOUT,1,5991780.82,0,Outflow,NGN
GIFN Cash,20260605,TXIN,1,23981.51,0,SMA Dividend,NGN
GIFN Cash,20260607,TXOUT,1,50,0,Transfer charges,NGN
GIFN Cash,20260610,TXOUT,1,3329799.17,0,Outflow,NGN
GIFN Cash,20260611,TXOUT,1,6200107.5,0,Outflow,NGN
GIFN Cash,20260615,TXIN,1,470070.78,0,Dividend inflow,NGN
GIFN Cash,20260616,TXOUT,1,10197969.47,0,Outflow,NGN
GIFN Cash,20260617,TXOUT,1,18301203.39,0,Outflow,NGN
GIFN Cash,20260617,TXOUT,1,48000000,0,Internal transfer,NGN
GIFN Cash,20260618,TXOUT,1,8979122.14,0,Outflow,NGN
GIFN Cash,20260619,TXOUT,1,10583067.45,0,Outflow,NGN
GIFN Cash,20260623,TXOUT,1,6000053.75,0,Internal transfer,NGN
GIFN Cash,20260624,TXIN,1,294517.22,0,SMA Dividend,NGN
GIFN Cash,20260625,TXIN,1,368143.81,0,SMA Dividend,NGN
GIFN Cash,20260625,TXIN,1,300000000,0,Inflow,NGN
GIFN Cash,20260626,TXOUT,1,11432519.5,0,Outflow,NGN
GIFN Cash,20260626,TXOUT,1,1150643.84,0,Outflow,NGN
GIFN Cash,20260628,TXOUT,1,50,0,Charges,NGN
GIFN Cash,20260629,TXIN,1,293180000,0,Inflow,NGN
GIFN Cash,20260630,TXOUT,1,50674081.81,0,Outflow,NGN
GIFN Cash,20260630,TXIN,1,9047.11,0,Interest on call,NGN
GIFN Cash,20260701,TXIN,1,360846.68,0,SMA Dividend,NGN
GIFN Cash,20260701,TXOUT,1,297576048.1,0,Outflow,NGN
GIFN Cash,20260702,TXIN,1,20817,0,SMA Dividend,NGN
GIFN Cash,20260702,TXOUT,1,6000000,0,Internal transfer,NGN
GIFN Cash,20260703,TXOUT,1,280401021.3,0,Fx trade,NGN
GIFN Cash,20260706,TXOUT,1,1689433.18,0,Outflow,NGN
